counts	gene
381	132	ENSMUSG00000002109.14
382	60	ENSMUSG00000002111.8
383	1316	ENSMUSG00000002129.11
384	1256	ENSMUSG00000002147.18
385	4	ENSMUSG00000002190.13
386	360.008	ENSMUSG00000002204.9
387	764.04	ENSMUSG00000002205.16
388	271.001	ENSMUSG00000002210.11
389	429.364	ENSMUSG00000002221.11
390	1031	ENSMUSG00000002222.14
391	1606.074	ENSMUSG00000002227.15
392	24	ENSMUSG00000002228.7
393	5153	ENSMUSG00000002233.13
394	0	ENSMUSG00000002240.12
395	934.301	ENSMUSG00000002249.21
396	769	ENSMUSG00000002250.16
397	61	ENSMUSG00000002257.8
398	11921.999	ENSMUSG00000002265.17
399	871.235	ENSMUSG00000002266.17
400	50	ENSMUSG00000002274.13
401	428.11	ENSMUSG00000002279.19
402	450	ENSMUSG00000002280.11
403	186	ENSMUSG00000002289.16
404	623	ENSMUSG00000002297.16
405	1043.999	ENSMUSG00000002307.16
406	2566	ENSMUSG00000002308.16
407	1674	ENSMUSG00000002319.16
408	1703.636	ENSMUSG00000002320.15
409	463	ENSMUSG00000002324.8
410	1058.262	ENSMUSG00000002325.15
411	462	ENSMUSG00000002326.6
412	743.999	ENSMUSG00000002329.7
413	713	ENSMUSG00000002332.16
414	2.002	ENSMUSG00000002341.8
415	470.999	ENSMUSG00000002342.17
416	239	ENSMUSG00000002343.11
417	364	ENSMUSG00000002345.18
418	80.26	ENSMUSG00000002346.16
419	4204	ENSMUSG00000002365.10
420	1371.669	ENSMUSG00000002372.9
421	1150	ENSMUSG00000002379.7
422	112.529	ENSMUSG00000002384.2
423	1439.998	ENSMUSG00000002393.14
424	1367	ENSMUSG00000002395.14
425	152.002	ENSMUSG00000002396.8
426	313	ENSMUSG00000002409.18
427	1113.877	ENSMUSG00000002413.15
428	886.474	ENSMUSG00000002416.13
429	561.838	ENSMUSG00000002428.12
430	1400	ENSMUSG00000002455.14
431	125.999	ENSMUSG00000002458.13
432	2.164	ENSMUSG00000002459.17
433	486	ENSMUSG00000002475.16
434	1251.616	ENSMUSG00000002477.5
435	118.008	ENSMUSG00000002486.15
436	518	ENSMUSG00000002489.16
437	738.598	ENSMUSG00000002496.10
438	31	ENSMUSG00000002500.15
439	160	ENSMUSG00000002504.15
440	3066.001	ENSMUSG00000002524.17
441	1495	ENSMUSG00000002546.16
442	732.232	ENSMUSG00000002550.16
443	197.103	ENSMUSG00000002565.16
444	60.376	ENSMUSG00000002578.18
445	953	ENSMUSG00000002580.7
446	1	ENSMUSG00000002588.13
447	877.001	ENSMUSG00000002602.16
448	759.955	ENSMUSG00000002603.15
449	542	ENSMUSG00000002608.8
450	73.003	ENSMUSG00000002617.14
451	320	ENSMUSG00000002625.10
452	1	ENSMUSG00000002633.4
453	291	ENSMUSG00000002635.11
454	900	ENSMUSG00000002658.9
455	698	ENSMUSG00000002660.8
456	163	ENSMUSG00000002661.14
457	0	ENSMUSG00000002664.2
458	27.081	ENSMUSG00000002668.8
459	859	ENSMUSG00000002679.14
460	42	ENSMUSG00000002688.8
461	49.672	ENSMUSG00000002699.13
462	1809	ENSMUSG00000002718.14
463	1114.993	ENSMUSG00000002728.14
464	296	ENSMUSG00000002731.6
465	273	ENSMUSG00000002732.14
466	682.777	ENSMUSG00000002733.8
467	1970	ENSMUSG00000002741.9
468	1419.326	ENSMUSG00000002748.7
469	899	ENSMUSG00000002763.16
470	1010	ENSMUSG00000002767.13
471	1146.999	ENSMUSG00000002768.8
472	0	ENSMUSG00000002769.9
473	49	ENSMUSG00000002771.12
474	3019	ENSMUSG00000002778.14
475	293.17	ENSMUSG00000002781.19
476	26	ENSMUSG00000002797.9
477	434.001	ENSMUSG00000002799.6
478	98	ENSMUSG00000002803.14
479	364	ENSMUSG00000002804.4
480	492	ENSMUSG00000002808.7
481	1757.001	ENSMUSG00000002812.4
482	211	ENSMUSG00000002814.15
483	1165	ENSMUSG00000002820.6
484	128	ENSMUSG00000002825.8
485	77	ENSMUSG00000002831.14
486	821.377	ENSMUSG00000002833.11
487	309.02	ENSMUSG00000002835.9
488	1791.335	ENSMUSG00000002844.9
489	1839	ENSMUSG00000002845.14
490	442.303	ENSMUSG00000002846.9
491	1059	ENSMUSG00000002847.7
492	788.002	ENSMUSG00000002870.8
493	899	ENSMUSG00000002871.14
494	846.182	ENSMUSG00000002881.14
495	197	ENSMUSG00000002885.14
496	242.817	ENSMUSG00000002897.5
497	7812	ENSMUSG00000002900.16
498	25.999	ENSMUSG00000002908.17
499	98.999	ENSMUSG00000002910.11
500	0	ENSMUSG00000002930.6
501	394	ENSMUSG00000002944.15
502	644	ENSMUSG00000002948.19
503	780.999	ENSMUSG00000002949.15
504	4047.417	ENSMUSG00000002957.11
505	465.998	ENSMUSG00000002963.17
506	1393.245	ENSMUSG00000002968.9
507	1039	ENSMUSG00000002980.14
508	2772	ENSMUSG00000002981.10
509	163.034	ENSMUSG00000002983.17
510	1285	ENSMUSG00000002984.17
511	8010.001	ENSMUSG00000002985.16
512	1414	ENSMUSG00000002992.17
513	3053.857	ENSMUSG00000002996.17
514	292	ENSMUSG00000002997.15
515	1338	ENSMUSG00000003031.14
516	1377	ENSMUSG00000003032.8
517	1019	ENSMUSG00000003033.15
518	2538.462	ENSMUSG00000003037.16
519	5634.534	ENSMUSG00000003038.15
520	1707.496	ENSMUSG00000003039.9
521	1003	ENSMUSG00000003051.13
522	0	ENSMUSG00000003053.17
523	1286	ENSMUSG00000003062.13
524	1198	ENSMUSG00000003068.16
525	42	ENSMUSG00000003070.6
526	3091.001	ENSMUSG00000003072.15
527	549.999	ENSMUSG00000003099.11
528	439	ENSMUSG00000003119.14
529	127.999	ENSMUSG00000003123.15
530	2417.001	ENSMUSG00000003131.7
531	479	ENSMUSG00000003134.10
532	599	ENSMUSG00000003135.15
533	807.244	ENSMUSG00000003153.10
534	528	ENSMUSG00000003154.15
535	8384.73	ENSMUSG00000003161.15
536	1235.999	ENSMUSG00000003166.20
537	768.001	ENSMUSG00000003184.15
538	156	ENSMUSG00000003190.12
539	86.809	ENSMUSG00000003198.10
540	299	ENSMUSG00000003199.16
541	1824	ENSMUSG00000003200.10
542	10	ENSMUSG00000003206.7
543	145.991	ENSMUSG00000003208.9
544	2243.001	ENSMUSG00000003226.7
545	5	ENSMUSG00000003227.4
546	132.284	ENSMUSG00000003228.9
547	1309.502	ENSMUSG00000003233.12
548	973	ENSMUSG00000003234.16
549	1233.999	ENSMUSG00000003235.13
550	1255.001	ENSMUSG00000003269.17
551	84	ENSMUSG00000003271.17
552	14	ENSMUSG00000003273.14
553	5	ENSMUSG00000003279.17
554	21	ENSMUSG00000003282.9
555	21	ENSMUSG00000003283.14
556	1053	ENSMUSG00000003299.10
557	944	ENSMUSG00000003308.15
558	1191.005	ENSMUSG00000003309.14
559	2245	ENSMUSG00000003316.14
560	6	ENSMUSG00000003341.9
561	660	ENSMUSG00000003344.14
562	2434.999	ENSMUSG00000003345.16
563	1268.999	ENSMUSG00000003346.14
564	1562	ENSMUSG00000003348.10
565	683	ENSMUSG00000003352.14
566	0	ENSMUSG00000003354.6
567	968.173	ENSMUSG00000003355.7
568	879.99	ENSMUSG00000003360.15
569	2056.001	ENSMUSG00000003363.15
570	69	ENSMUSG00000003378.9
571	8.407	ENSMUSG00000003379.7
572	3006.001	ENSMUSG00000003380.11
573	458.958	ENSMUSG00000003382.18
574	3981	ENSMUSG00000003402.14
575	17.018	ENSMUSG00000003410.8
576	110	ENSMUSG00000003411.10
577	31	ENSMUSG00000003418.11
578	3474	ENSMUSG00000003420.8
579	794.035	ENSMUSG00000003421.13
580	605.846	ENSMUSG00000003423.15
581	10645.2	ENSMUSG00000003429.11
582	3874.999	ENSMUSG00000003435.9
583	4.018	ENSMUSG00000003436.11
584	1427.001	ENSMUSG00000003437.14
585	798	ENSMUSG00000003438.17
586	711	ENSMUSG00000003444.8
587	23.177	ENSMUSG00000003452.15
588	2239	ENSMUSG00000003458.12
589	2033	ENSMUSG00000003464.13
590	3	ENSMUSG00000003469.9
591	1	ENSMUSG00000003476.16
592	369	ENSMUSG00000003477.5
593	317.881	ENSMUSG00000003484.4
594	485	ENSMUSG00000003500.13
595	25585.515	ENSMUSG00000003505.15
596	716.922	ENSMUSG00000003518.13
597	101.833	ENSMUSG00000003526.12
598	326.999	ENSMUSG00000003527.9
599	947	ENSMUSG00000003528.15
600	307	ENSMUSG00000003531.15
601	3415	ENSMUSG00000003534.17
602	610	ENSMUSG00000003541.6
603	108	ENSMUSG00000003545.3
604	960	ENSMUSG00000003546.10
605	726	ENSMUSG00000003549.9
606	707	ENSMUSG00000003555.8
607	1123	ENSMUSG00000003559.8
608	144	ENSMUSG00000003573.15
609	184	ENSMUSG00000003575.13
610	699	ENSMUSG00000003581.14
611	150	ENSMUSG00000003585.13
612	165.704	ENSMUSG00000003604.14
613	95.001	ENSMUSG00000003617.16
614	1328.086	ENSMUSG00000003623.4
615	1489	ENSMUSG00000003644.17
616	0	ENSMUSG00000003657.9
617	1156	ENSMUSG00000003660.10
618	911.198	ENSMUSG00000003662.10
619	12	ENSMUSG00000003665.7
620	312.001	ENSMUSG00000003680.16
621	900.001	ENSMUSG00000003721.14
622	1727	ENSMUSG00000003731.13
623	4407	ENSMUSG00000003746.16
624	295	ENSMUSG00000003752.9
625	395.841	ENSMUSG00000003762.13
626	969.773	ENSMUSG00000003778.14
627	507.999	ENSMUSG00000003779.16
628	1447	ENSMUSG00000003808.18
629	552.999	ENSMUSG00000003809.14
630	946	ENSMUSG00000003810.12
631	716.065	ENSMUSG00000003812.13
632	1049	ENSMUSG00000003813.15
633	55383	ENSMUSG00000003814.8
634	721.001	ENSMUSG00000003824.12
635	703.277	ENSMUSG00000003847.16
636	422	ENSMUSG00000003848.14
637	132	ENSMUSG00000003849.8
638	5	ENSMUSG00000003863.18
639	1578	ENSMUSG00000003865.16
640	880	ENSMUSG00000003868.14
641	3	ENSMUSG00000003872.9
642	1406	ENSMUSG00000003873.11
643	11.056	ENSMUSG00000003882.5
644	832	ENSMUSG00000003923.14
645	94.023	ENSMUSG00000003929.11
646	23	ENSMUSG00000003934.5
647	863.951	ENSMUSG00000003948.17
648	44	ENSMUSG00000003949.16
649	1415	ENSMUSG00000003955.8
650	11526.527	ENSMUSG00000003970.9
651	0	ENSMUSG00000003974.6
652	99.821	ENSMUSG00000003992.15
653	177	ENSMUSG00000004018.9
654	0	ENSMUSG00000004031.13
655	340	ENSMUSG00000004032.10
656	14	ENSMUSG00000004035.12
657	4.413	ENSMUSG00000004038.9
658	2161.585	ENSMUSG00000004040.16
659	274.769	ENSMUSG00000004043.14
660	1653	ENSMUSG00000004044.9
661	1045.999	ENSMUSG00000004054.9
662	2000.203	ENSMUSG00000004056.15
