counts	gene
478	80	ENSMUSG00000002803.14
479	301	ENSMUSG00000002804.4
480	218.873	ENSMUSG00000002808.7
481	1761	ENSMUSG00000002812.4
482	198	ENSMUSG00000002814.15
483	1070	ENSMUSG00000002820.6
484	145	ENSMUSG00000002825.8
485	22	ENSMUSG00000002831.14
486	1067.665	ENSMUSG00000002833.11
487	276.024	ENSMUSG00000002835.9
488	1883.899	ENSMUSG00000002844.9
489	1487	ENSMUSG00000002845.14
490	451.859	ENSMUSG00000002846.9
491	628	ENSMUSG00000002847.7
492	610	ENSMUSG00000002870.8
493	683.002	ENSMUSG00000002871.14
494	692.863	ENSMUSG00000002881.14
495	145	ENSMUSG00000002885.14
496	162.844	ENSMUSG00000002897.5
497	3151.001	ENSMUSG00000002900.16
498	9	ENSMUSG00000002908.17
499	89.999	ENSMUSG00000002910.11
500	0	ENSMUSG00000002930.6
501	604	ENSMUSG00000002944.15
502	569	ENSMUSG00000002948.19
503	808	ENSMUSG00000002949.15
504	3344.484	ENSMUSG00000002957.11
505	501	ENSMUSG00000002963.17
506	1213.75	ENSMUSG00000002968.9
507	398	ENSMUSG00000002980.14
508	1829	ENSMUSG00000002981.10
509	104.132	ENSMUSG00000002983.17
510	1339.001	ENSMUSG00000002984.17
511	4871	ENSMUSG00000002985.16
512	899.222	ENSMUSG00000002992.17
513	2587.999	ENSMUSG00000002996.17
514	233	ENSMUSG00000002997.15
515	888	ENSMUSG00000003031.14
516	924	ENSMUSG00000003032.8
517	989	ENSMUSG00000003033.15
518	2722.487	ENSMUSG00000003037.16
519	5275.108	ENSMUSG00000003038.15
520	1759.774	ENSMUSG00000003039.9
521	1169	ENSMUSG00000003051.13
522	0	ENSMUSG00000003053.17
523	880.001	ENSMUSG00000003062.13
524	1127	ENSMUSG00000003068.16
525	33	ENSMUSG00000003070.6
526	3698	ENSMUSG00000003072.15
527	529	ENSMUSG00000003099.11
528	383	ENSMUSG00000003119.14
529	108	ENSMUSG00000003123.15
530	2113	ENSMUSG00000003131.7
531	670	ENSMUSG00000003134.10
532	598	ENSMUSG00000003135.15
533	502.51	ENSMUSG00000003153.10
534	494	ENSMUSG00000003154.15
535	11506.734	ENSMUSG00000003161.15
536	629	ENSMUSG00000003166.20
537	786.999	ENSMUSG00000003184.15
538	193	ENSMUSG00000003190.12
539	61.741	ENSMUSG00000003198.10
540	352	ENSMUSG00000003199.16
