abundance	gene
ENSMUSG00000002222.14	8.62309	ENSMUSG00000002222.14
ENSMUSG00000002227.15	13.778422	ENSMUSG00000002227.15
ENSMUSG00000002228.7	2.523639	ENSMUSG00000002228.7
ENSMUSG00000002233.13	201.050308	ENSMUSG00000002233.13
ENSMUSG00000002240.12	0	ENSMUSG00000002240.12
ENSMUSG00000002249.21	28.030451	ENSMUSG00000002249.21
ENSMUSG00000002250.16	13.899441	ENSMUSG00000002250.16
ENSMUSG00000002257.8	2.267701	ENSMUSG00000002257.8
ENSMUSG00000002265.17	53.648185	ENSMUSG00000002265.17
ENSMUSG00000002266.17	11.438559	ENSMUSG00000002266.17
ENSMUSG00000002274.13	2.780476	ENSMUSG00000002274.13
ENSMUSG00000002279.19	18.297086	ENSMUSG00000002279.19
ENSMUSG00000002280.11	6.442241	ENSMUSG00000002280.11
ENSMUSG00000002289.16	4.439448	ENSMUSG00000002289.16
ENSMUSG00000002297.16	8.198068	ENSMUSG00000002297.16
ENSMUSG00000002307.16	45.31164	ENSMUSG00000002307.16
ENSMUSG00000002308.16	68.77482	ENSMUSG00000002308.16
ENSMUSG00000002319.16	138.501988	ENSMUSG00000002319.16
ENSMUSG00000002320.15	39.667403	ENSMUSG00000002320.15
ENSMUSG00000002324.8	7.559626	ENSMUSG00000002324.8
ENSMUSG00000002325.15	21.180215	ENSMUSG00000002325.15
ENSMUSG00000002326.6	13.949078	ENSMUSG00000002326.6
ENSMUSG00000002329.7	12.778982	ENSMUSG00000002329.7
ENSMUSG00000002332.16	32.881939	ENSMUSG00000002332.16
ENSMUSG00000002341.8	0	ENSMUSG00000002341.8
ENSMUSG00000002342.17	46.644428	ENSMUSG00000002342.17
ENSMUSG00000002343.11	7.648104	ENSMUSG00000002343.11
ENSMUSG00000002345.18	20.860452	ENSMUSG00000002345.18
ENSMUSG00000002346.16	0.59026	ENSMUSG00000002346.16
ENSMUSG00000002365.10	45.256515	ENSMUSG00000002365.10
ENSMUSG00000002372.9	21.882595	ENSMUSG00000002372.9
ENSMUSG00000002379.7	161.367328	ENSMUSG00000002379.7
ENSMUSG00000002384.2	2.131032	ENSMUSG00000002384.2
ENSMUSG00000002393.14	142.81195	ENSMUSG00000002393.14
ENSMUSG00000002395.14	52.690723	ENSMUSG00000002395.14
ENSMUSG00000002396.8	6.33961	ENSMUSG00000002396.8
