abundance	gene
ENSMUSG00000002017.10	11.343333	ENSMUSG00000002017.10
ENSMUSG00000002020.15	1.181154	ENSMUSG00000002020.15
ENSMUSG00000002028.13	1.531094	ENSMUSG00000002028.13
ENSMUSG00000002031.13	79.36789	ENSMUSG00000002031.13
ENSMUSG00000002032.17	0.4402	ENSMUSG00000002032.17
ENSMUSG00000002033.14	0.165096	ENSMUSG00000002033.14
ENSMUSG00000002043.17	35.617429	ENSMUSG00000002043.17
ENSMUSG00000002052.6	13.040636	ENSMUSG00000002052.6
ENSMUSG00000002055.9	17.283767	ENSMUSG00000002055.9
ENSMUSG00000002057.4	0.118518	ENSMUSG00000002057.4
ENSMUSG00000002058.13	29.044133	ENSMUSG00000002058.13
ENSMUSG00000002059.18	6.902542	ENSMUSG00000002059.18
ENSMUSG00000002064.10	113.927238	ENSMUSG00000002064.10
ENSMUSG00000002068.16	1.988648	ENSMUSG00000002068.16
ENSMUSG00000002076.12	3.067104	ENSMUSG00000002076.12
ENSMUSG00000002083.13	2.923469	ENSMUSG00000002083.13
ENSMUSG00000002100.15	0.320694	ENSMUSG00000002100.15
ENSMUSG00000002102.15	103.802012	ENSMUSG00000002102.15
ENSMUSG00000002103.16	8.724493	ENSMUSG00000002103.16
ENSMUSG00000002104.11	0.053199	ENSMUSG00000002104.11
ENSMUSG00000002105.15	28.444271	ENSMUSG00000002105.15
ENSMUSG00000002107.18	1.471884	ENSMUSG00000002107.18
ENSMUSG00000002108.10	3.216277	ENSMUSG00000002108.10
ENSMUSG00000002109.14	1.824278	ENSMUSG00000002109.14
ENSMUSG00000002111.8	1.403657	ENSMUSG00000002111.8
ENSMUSG00000002129.11	8.423805	ENSMUSG00000002129.11
ENSMUSG00000002147.18	28.337006	ENSMUSG00000002147.18
ENSMUSG00000002190.13	0.031258	ENSMUSG00000002190.13
ENSMUSG00000002204.9	3.226169	ENSMUSG00000002204.9
ENSMUSG00000002205.16	16.399027	ENSMUSG00000002205.16
ENSMUSG00000002210.11	10.681294	ENSMUSG00000002210.11
ENSMUSG00000002221.11	6.433311	ENSMUSG00000002221.11
ENSMUSG00000002222.14	9.027467	ENSMUSG00000002222.14
ENSMUSG00000002227.15	15.121172	ENSMUSG00000002227.15
ENSMUSG00000002228.7	2.359714	ENSMUSG00000002228.7
ENSMUSG00000002233.13	175.332414	ENSMUSG00000002233.13
ENSMUSG00000002240.12	0	ENSMUSG00000002240.12
ENSMUSG00000002249.21	21.15279	ENSMUSG00000002249.21
ENSMUSG00000002250.16	9.702556	ENSMUSG00000002250.16
ENSMUSG00000002257.8	1.350313	ENSMUSG00000002257.8
ENSMUSG00000002265.17	65.46775	ENSMUSG00000002265.17
ENSMUSG00000002266.17	10.230881	ENSMUSG00000002266.17
ENSMUSG00000002274.13	1.697397	ENSMUSG00000002274.13
ENSMUSG00000002279.19	15.992136	ENSMUSG00000002279.19
ENSMUSG00000002280.11	6.183832	ENSMUSG00000002280.11
ENSMUSG00000002289.16	6.607883	ENSMUSG00000002289.16
ENSMUSG00000002297.16	6.537481	ENSMUSG00000002297.16
ENSMUSG00000002307.16	36.857155	ENSMUSG00000002307.16
ENSMUSG00000002308.16	87.048776	ENSMUSG00000002308.16
ENSMUSG00000002319.16	119.931176	ENSMUSG00000002319.16
ENSMUSG00000002320.15	36.653862	ENSMUSG00000002320.15
ENSMUSG00000002324.8	14.479983	ENSMUSG00000002324.8
ENSMUSG00000002325.15	19.723334	ENSMUSG00000002325.15
ENSMUSG00000002326.6	8.538314	ENSMUSG00000002326.6
ENSMUSG00000002329.7	12.474561	ENSMUSG00000002329.7
ENSMUSG00000002332.16	35.815978	ENSMUSG00000002332.16
ENSMUSG00000002341.8	0.005062	ENSMUSG00000002341.8
ENSMUSG00000002342.17	64.448018	ENSMUSG00000002342.17
ENSMUSG00000002343.11	6.734134	ENSMUSG00000002343.11
ENSMUSG00000002345.18	18.603742	ENSMUSG00000002345.18
ENSMUSG00000002346.16	0.759536	ENSMUSG00000002346.16
ENSMUSG00000002365.10	43.886979	ENSMUSG00000002365.10
ENSMUSG00000002372.9	18.74971	ENSMUSG00000002372.9
ENSMUSG00000002379.7	172.379175	ENSMUSG00000002379.7
ENSMUSG00000002384.2	0.860776	ENSMUSG00000002384.2
ENSMUSG00000002393.14	115.57922	ENSMUSG00000002393.14
ENSMUSG00000002395.14	44.198065	ENSMUSG00000002395.14
ENSMUSG00000002396.8	6.947999	ENSMUSG00000002396.8
